Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-01-04T00:00:00+01:00,244930,4947
Bayern,09,2021-01-04T00:00:00+01:00,334567,6925
Berlin,11,2021-01-04T00:00:00+01:00,98754,1305
Brandenburg,12,2021-01-04T00:00:00+01:00,42887,1008
Bremen,04,2021-01-04T00:00:00+01:00,13747,204
Hamburg,02,2021-01-04T00:00:00+01:00,37535,661
Hessen,06,2021-01-04T00:00:00+01:00,140371,2991
Mecklenburg-Vorpommern,13,2021-01-04T00:00:00+01:00,12562,179
Niedersachsen,03,2021-01-04T00:00:00+01:00,110777,2041
Nordrhein-Westfalen,05,2021-01-04T00:00:00+01:00,402519,6820
Rheinland-Pfalz,07,2021-01-04T00:00:00+01:00,74435,1476
Saarland,10,2021-01-04T00:00:00+01:00,20199,445
Sachsen,14,2021-01-04T00:00:00+01:00,139700,3378
Sachsen-Anhalt,15,2021-01-04T00:00:00+01:00,32083,694
Schleswig-Holstein,01,2021-01-04T00:00:00+01:00,25751,446
Thüringen,16,2021-01-04T00:00:00+01:00,44696,1054
