Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-02-12T00:00:00+01:00,304257,7675
Bayern,09,2021-02-12T00:00:00+01:00,418456,11547
Berlin,11,2021-02-12T00:00:00+01:00,124134,2574
Brandenburg,12,2021-02-12T00:00:00+01:00,72569,2760
Bremen,04,2021-02-12T00:00:00+01:00,16797,306
Hamburg,02,2021-02-12T00:00:00+01:00,48458,1178
Hessen,06,2021-02-12T00:00:00+01:00,179467,5398
Mecklenburg-Vorpommern,13,2021-02-12T00:00:00+01:00,21928,614
Niedersachsen,03,2021-02-12T00:00:00+01:00,151569,3773
Nordrhein-Westfalen,05,2021-02-12T00:00:00+01:00,506531,11963
Rheinland-Pfalz,07,2021-02-12T00:00:00+01:00,97141,2846
Saarland,10,2021-02-12T00:00:00+01:00,27281,805
Sachsen,14,2021-02-12T00:00:00+01:00,186520,7044
Sachsen-Anhalt,15,2021-02-12T00:00:00+01:00,55787,2068
Schleswig-Holstein,01,2021-02-12T00:00:00+01:00,39144,1101
Thüringen,16,2021-02-12T00:00:00+01:00,70054,2539
