Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-01T00:00:00+02:00,42119,1866
Bayern,2020-09-01T00:00:00+02:00,57485,2640
Berlin,2020-09-01T00:00:00+02:00,11266,226
Brandenburg,2020-09-01T00:00:00+02:00,3871,169
Bremen,2020-09-01T00:00:00+02:00,2002,56
Hamburg,2020-09-01T00:00:00+02:00,6262,266
Hessen,2020-09-01T00:00:00+02:00,15596,532
Mecklenburg-Vorpommern,2020-09-01T00:00:00+02:00,1008,20
Niedersachsen,2020-09-01T00:00:00+02:00,16795,661
Nordrhein-Westfalen,2020-09-01T00:00:00+02:00,59023,1812
Rheinland-Pfalz,2020-09-01T00:00:00+02:00,9105,243
Saarland,2020-09-01T00:00:00+02:00,3151,174
Sachsen,2020-09-01T00:00:00+02:00,5990,226
Sachsen-Anhalt,2020-09-01T00:00:00+02:00,2244,65
Schleswig-Holstein,2020-09-01T00:00:00+02:00,4045,160
Thüringen,2020-09-01T00:00:00+02:00,3637,186
