Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-11T00:00:00+02:00,33190,1545
Bayern,2020-05-11T00:00:00+02:00,44368,2155
Berlin,2020-05-11T00:00:00+02:00,6272,165
Brandenburg,2020-05-11T00:00:00+02:00,3106,134
Bremen,2020-05-11T00:00:00+02:00,1055,34
Hamburg,2020-05-11T00:00:00+02:00,4780,204
Hessen,2020-05-11T00:00:00+02:00,9012,412
Mecklenburg-Vorpommern,2020-05-11T00:00:00+02:00,728,19
Niedersachsen,2020-05-11T00:00:00+02:00,10854,498
Nordrhein-Westfalen,2020-05-11T00:00:00+02:00,35132,1437
Rheinland-Pfalz,2020-05-11T00:00:00+02:00,6313,195
Saarland,2020-05-11T00:00:00+02:00,2665,142
Sachsen,2020-05-11T00:00:00+02:00,4915,187
Sachsen-Anhalt,2020-05-11T00:00:00+02:00,1643,48
Schleswig-Holstein,2020-05-11T00:00:00+02:00,2957,124
Thüringen,2020-05-11T00:00:00+02:00,2585,118
