Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-09-04T00:00:00+02:00,534051,10495
Bayern,09,2021-09-04T00:00:00+02:00,683283,15432
Berlin,11,2021-09-04T00:00:00+02:00,194974,3596
Brandenburg,12,2021-09-04T00:00:00+02:00,112245,3827
Bremen,04,2021-09-04T00:00:00+02:00,29847,498
Hamburg,02,2021-09-04T00:00:00+02:00,86386,1649
Hessen,06,2021-09-04T00:00:00+02:00,313296,7639
Mecklenburg-Vorpommern,13,2021-09-04T00:00:00+02:00,46590,1193
Niedersachsen,03,2021-09-04T00:00:00+02:00,281221,5858
Nordrhein-Westfalen,05,2021-09-04T00:00:00+02:00,905321,17457
Rheinland-Pfalz,07,2021-09-04T00:00:00+02:00,168416,3931
Saarland,10,2021-09-04T00:00:00+02:00,45041,1035
Sachsen,14,2021-09-04T00:00:00+02:00,290215,10170
Sachsen-Anhalt,15,2021-09-04T00:00:00+02:00,101125,3492
Schleswig-Holstein,01,2021-09-04T00:00:00+02:00,72212,1656
Thüringen,16,2021-09-04T00:00:00+02:00,130965,4397
