Area,Bundesland,AGS,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,08425000,2020-12-20T00:00:00+01:00,3541,82
Baden-Baden (Stadtkreis),Baden-Württemberg,08211000,2020-12-20T00:00:00+01:00,893,28
Biberach,Baden-Württemberg,08426000,2020-12-20T00:00:00+01:00,2942,63
Bodenseekreis,Baden-Württemberg,08435000,2020-12-20T00:00:00+01:00,2589,18
Breisgau-Hochschwarzwald,Baden-Württemberg,08315000,2020-12-20T00:00:00+01:00,4243,100
Böblingen,Baden-Württemberg,08115000,2020-12-20T00:00:00+01:00,8062,113
Calw,Baden-Württemberg,08235000,2020-12-20T00:00:00+01:00,3642,71
Emmendingen,Baden-Württemberg,08316000,2020-12-20T00:00:00+01:00,2893,87
Enzkreis,Baden-Württemberg,08236000,2020-12-20T00:00:00+01:00,4255,77
Esslingen,Baden-Württemberg,08116000,2020-12-20T00:00:00+01:00,11425,231
Freiburg im Breisgau (Stadtkreis),Baden-Württemberg,08311000,2020-12-20T00:00:00+01:00,3743,100
Freudenstadt,Baden-Württemberg,08237000,2020-12-20T00:00:00+01:00,2319,58
Göppingen,Baden-Württemberg,08117000,2020-12-20T00:00:00+01:00,5188,105
Heidelberg (Stadtkreis),Baden-Württemberg,08221000,2020-12-20T00:00:00+01:00,2561,26
Heidenheim,Baden-Württemberg,08135000,2020-12-20T00:00:00+01:00,2380,95
Heilbronn (Stadtkreis),Baden-Württemberg,08121000,2020-12-20T00:00:00+01:00,3718,51
Heilbronn (Landkreis),Baden-Württemberg,08125000,2020-12-20T00:00:00+01:00,6336,84
Hohenlohekreis,Baden-Württemberg,08126000,2020-12-20T00:00:00+01:00,2076,60
Karlsruhe (Stadtkreis),Baden-Württemberg,08212000,2020-12-20T00:00:00+01:00,4376,64
Karlsruhe (Landkreis),Baden-Württemberg,08215000,2020-12-20T00:00:00+01:00,7473,185
Konstanz,Baden-Württemberg,08335000,2020-12-20T00:00:00+01:00,4176,76
Ludwigsburg,Baden-Württemberg,08118000,2020-12-20T00:00:00+01:00,11982,204
Lörrach,Baden-Württemberg,08336000,2020-12-20T00:00:00+01:00,5044,118
Main-Tauber-Kreis,Baden-Württemberg,08128000,2020-12-20T00:00:00+01:00,1928,20
Mannheim (Stadtkreis),Baden-Württemberg,08222000,2020-12-20T00:00:00+01:00,7289,101
Neckar-Odenwald-Kreis,Baden-Württemberg,08225000,2020-12-20T00:00:00+01:00,2546,51
Ortenaukreis,Baden-Württemberg,08317000,2020-12-20T00:00:00+01:00,8096,204
Ostalbkreis,Baden-Württemberg,08136000,2020-12-20T00:00:00+01:00,6282,117
Pforzheim (Stadtkreis),Baden-Württemberg,08231000,2020-12-20T00:00:00+01:00,3436,37
Rastatt,Baden-Württemberg,08216000,2020-12-20T00:00:00+01:00,3689,59
Ravensburg,Baden-Württemberg,08436000,2020-12-20T00:00:00+01:00,3534,31
Rems-Murr-Kreis,Baden-Württemberg,08119000,2020-12-20T00:00:00+01:00,9317,172
Reutlingen,Baden-Württemberg,08415000,2020-12-20T00:00:00+01:00,6223,115
Rhein-Neckar-Kreis,Baden-Württemberg,08226000,2020-12-20T00:00:00+01:00,9666,162
Rottweil,Baden-Württemberg,08325000,2020-12-20T00:00:00+01:00,3038,70
Schwarzwald-Baar-Kreis,Baden-Württemberg,08326000,2020-12-20T00:00:00+01:00,4063,74
Schwäbisch Hall,Baden-Württemberg,08127000,2020-12-20T00:00:00+01:00,3166,85
Sigmaringen,Baden-Württemberg,08437000,2020-12-20T00:00:00+01:00,1933,38
Stuttgart,Baden-Württemberg,08111000,2020-12-20T00:00:00+01:00,13525,157
Tuttlingen,Baden-Württemberg,08327000,2020-12-20T00:00:00+01:00,2874,63
Tübingen,Baden-Württemberg,08416000,2020-12-20T00:00:00+01:00,4431,92
Ulm (Stadtkreis),Baden-Württemberg,08421000,2020-12-20T00:00:00+01:00,2561,31
Waldshut,Baden-Württemberg,08337000,2020-12-20T00:00:00+01:00,2916,68
Zollernalbkreis,Baden-Württemberg,08417000,2020-12-20T00:00:00+01:00,3490,96
Aichach-Friedberg,Bayern,09771000,2020-12-20T00:00:00+01:00,2552,49
Altötting,Bayern,09171000,2020-12-20T00:00:00+01:00,2709,87
Amberg,Bayern,09361000,2020-12-20T00:00:00+01:00,610,7
Amberg-Sulzbach,Bayern,09371000,2020-12-20T00:00:00+01:00,2105,82
Ansbach (Stadt),Bayern,09561000,2020-12-20T00:00:00+01:00,658,13
Ansbach (Landkreis),Bayern,09571000,2020-12-20T00:00:00+01:00,3063,70
Aschaffenburg (Stadt),Bayern,09661000,2020-12-20T00:00:00+01:00,1240,20
Aschaffenburg (Landkreis),Bayern,09671000,2020-12-20T00:00:00+01:00,3384,72
Augsburg (Stadt),Bayern,09761000,2020-12-20T00:00:00+01:00,8677,172
Augsburg (Landkreis),Bayern,09772000,2020-12-20T00:00:00+01:00,5501,64
Bad Kissingen,Bayern,09672000,2020-12-20T00:00:00+01:00,1278,22
Bad Tölz-Wolfratshausen,Bayern,09173000,2020-12-20T00:00:00+01:00,2348,19
Bamberg (Stadt),Bayern,09461000,2020-12-20T00:00:00+01:00,1275,41
Bamberg (Landkreis),Bayern,09471000,2020-12-20T00:00:00+01:00,2167,59
Bayreuth (Stadt),Bayern,09462000,2020-12-20T00:00:00+01:00,1057,23
Bayreuth (Landkreis),Bayern,09472000,2020-12-20T00:00:00+01:00,1503,34
Berchtesgadener Land,Bayern,09172000,2020-12-20T00:00:00+01:00,2467,56
Cham,Bayern,09372000,2020-12-20T00:00:00+01:00,2232,44
Coburg (Stadt),Bayern,09463000,2020-12-20T00:00:00+01:00,753,11
Coburg (Landkreis),Bayern,09473000,2020-12-20T00:00:00+01:00,1961,68
Dachau,Bayern,09174000,2020-12-20T00:00:00+01:00,4179,77
Deggendorf,Bayern,09271000,2020-12-20T00:00:00+01:00,2343,39
Dillingen a.d. Donau,Bayern,09773000,2020-12-20T00:00:00+01:00,1759,71
Dingolfing-Landau,Bayern,09279000,2020-12-20T00:00:00+01:00,2286,44
Donau-Ries,Bayern,09779000,2020-12-20T00:00:00+01:00,2371,51
Ebersberg,Bayern,09175000,2020-12-20T00:00:00+01:00,3194,56
Eichstätt,Bayern,09176000,2020-12-20T00:00:00+01:00,2197,41
Erding,Bayern,09177000,2020-12-20T00:00:00+01:00,3692,29
Erlangen,Bayern,09562000,2020-12-20T00:00:00+01:00,1918,32
Erlangen-Höchstadt,Bayern,09572000,2020-12-20T00:00:00+01:00,2250,54
Forchheim,Bayern,09474000,2020-12-20T00:00:00+01:00,1891,27
Freising,Bayern,09178000,2020-12-20T00:00:00+01:00,3903,55
Freyung-Grafenau,Bayern,09272000,2020-12-20T00:00:00+01:00,2222,51
Fürstenfeldbruck,Bayern,09179000,2020-12-20T00:00:00+01:00,5138,81
Fürth (Stadt),Bayern,09563000,2020-12-20T00:00:00+01:00,3233,64
Fürth (Landkreis),Bayern,09573000,2020-12-20T00:00:00+01:00,2543,109
Garmisch-Partenkirchen,Bayern,09180000,2020-12-20T00:00:00+01:00,1557,38
Günzburg,Bayern,09774000,2020-12-20T00:00:00+01:00,3281,54
Haßberge,Bayern,09674000,2020-12-20T00:00:00+01:00,1518,35
Hof (Stadt),Bayern,09464000,2020-12-20T00:00:00+01:00,1142,24
Hof (Landkreis),Bayern,09475000,2020-12-20T00:00:00+01:00,2040,57
Ingolstadt,Bayern,09161000,2020-12-20T00:00:00+01:00,2919,52
Kaufbeuren,Bayern,09762000,2020-12-20T00:00:00+01:00,1071,35
Kelheim,Bayern,09273000,2020-12-20T00:00:00+01:00,2072,41
Kempten (Allgäu),Bayern,09763000,2020-12-20T00:00:00+01:00,1160,17
Kitzingen,Bayern,09675000,2020-12-20T00:00:00+01:00,1279,14
Kronach,Bayern,09476000,2020-12-20T00:00:00+01:00,1302,23
Kulmbach,Bayern,09477000,2020-12-20T00:00:00+01:00,1050,15
Landsberg am Lech,Bayern,09181000,2020-12-20T00:00:00+01:00,2164,26
Landshut (Stadt),Bayern,09261000,2020-12-20T00:00:00+01:00,1613,28
Landshut (Landkreis),Bayern,09274000,2020-12-20T00:00:00+01:00,3379,91
Lichtenfels,Bayern,09478000,2020-12-20T00:00:00+01:00,1342,35
Lindau (Bodensee),Bayern,09776000,2020-12-20T00:00:00+01:00,1587,30
Main-Spessart,Bayern,09677000,2020-12-20T00:00:00+01:00,2172,107
Memmingen,Bayern,09764000,2020-12-20T00:00:00+01:00,745,11
Miesbach,Bayern,09182000,2020-12-20T00:00:00+01:00,2142,16
Miltenberg,Bayern,09676000,2020-12-20T00:00:00+01:00,2347,38
Mühldorf a. Inn,Bayern,09183000,2020-12-20T00:00:00+01:00,3042,62
München (Stadt),Bayern,09162000,2020-12-20T00:00:00+01:00,40196,483
München (Landkreis),Bayern,09184000,2020-12-20T00:00:00+01:00,7621,133
Neu-Ulm,Bayern,09775000,2020-12-20T00:00:00+01:00,3578,50
Neuburg-Schrobenhausen,Bayern,09185000,2020-12-20T00:00:00+01:00,1913,45
Neumarkt i.d. OPf.,Bayern,09373000,2020-12-20T00:00:00+01:00,2597,67
Neustadt a.d. Aisch-Bad Windsheim,Bayern,09575000,2020-12-20T00:00:00+01:00,1623,28
Neustadt a.d. Waldnaab,Bayern,09374000,2020-12-20T00:00:00+01:00,2498,87
Nürnberg,Bayern,09564000,2020-12-20T00:00:00+01:00,14500,208
Nürnberger Land,Bayern,09574000,2020-12-20T00:00:00+01:00,3277,78
Oberallgäu,Bayern,09780000,2020-12-20T00:00:00+01:00,2491,26
Ostallgäu,Bayern,09777000,2020-12-20T00:00:00+01:00,2843,55
Passau (Stadt),Bayern,09262000,2020-12-20T00:00:00+01:00,1644,33
Passau (Landkreis),Bayern,09275000,2020-12-20T00:00:00+01:00,5823,78
Pfaffenhofen a.d. Ilm,Bayern,09186000,2020-12-20T00:00:00+01:00,2607,64
Regen,Bayern,09276000,2020-12-20T00:00:00+01:00,2539,54
Regensburg (Stadt),Bayern,09362000,2020-12-20T00:00:00+01:00,3350,26
Regensburg (Landkreis),Bayern,09375000,2020-12-20T00:00:00+01:00,3388,40
Rhön-Grabfeld,Bayern,09673000,2020-12-20T00:00:00+01:00,1218,17
Rosenheim (Stadt),Bayern,09163000,2020-12-20T00:00:00+01:00,2121,30
Rosenheim (Landkreis),Bayern,09187000,2020-12-20T00:00:00+01:00,7872,285
Roth,Bayern,09576000,2020-12-20T00:00:00+01:00,2291,26
Rottal-Inn,Bayern,09277000,2020-12-20T00:00:00+01:00,3296,79
Schwabach,Bayern,09565000,2020-12-20T00:00:00+01:00,968,31
Schwandorf,Bayern,09376000,2020-12-20T00:00:00+01:00,3071,47
Schweinfurt (Stadt),Bayern,09662000,2020-12-20T00:00:00+01:00,1145,36
Schweinfurt (Landkreis),Bayern,09678000,2020-12-20T00:00:00+01:00,2457,65
Starnberg,Bayern,09188000,2020-12-20T00:00:00+01:00,2472,18
Straubing,Bayern,09263000,2020-12-20T00:00:00+01:00,1149,54
Straubing-Bogen,Bayern,09278000,2020-12-20T00:00:00+01:00,2228,68
Tirschenreuth,Bayern,09377000,2020-12-20T00:00:00+01:00,2218,167
Traunstein,Bayern,09189000,2020-12-20T00:00:00+01:00,5213,141
Unterallgäu,Bayern,09778000,2020-12-20T00:00:00+01:00,2419,49
Weiden i.d. OPf.,Bayern,09363000,2020-12-20T00:00:00+01:00,1257,28
Weilheim-Schongau,Bayern,09190000,2020-12-20T00:00:00+01:00,2231,25
Weißenburg-Gunzenhausen,Bayern,09577000,2020-12-20T00:00:00+01:00,1642,39
