Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-29T00:00:00+02:00,37038,1843
Bayern,2020-07-29T00:00:00+02:00,50696,2621
Berlin,2020-07-29T00:00:00+02:00,9071,223
Brandenburg,2020-07-29T00:00:00+02:00,3531,168
Bremen,2020-07-29T00:00:00+02:00,1758,55
Hamburg,2020-07-29T00:00:00+02:00,5338,261
Hessen,2020-07-29T00:00:00+02:00,11806,518
Mecklenburg-Vorpommern,2020-07-29T00:00:00+02:00,849,20
Niedersachsen,2020-07-29T00:00:00+02:00,14305,649
Nordrhein-Westfalen,2020-07-29T00:00:00+02:00,47965,1730
Rheinland-Pfalz,2020-07-29T00:00:00+02:00,7456,239
Saarland,2020-07-29T00:00:00+02:00,2857,174
Sachsen,2020-07-29T00:00:00+02:00,5525,225
Sachsen-Anhalt,2020-07-29T00:00:00+02:00,1997,64
Schleswig-Holstein,2020-07-29T00:00:00+02:00,3379,156
Thüringen,2020-07-29T00:00:00+02:00,3355,182
