Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-08T00:00:00+02:00,52231,1898
Bayern,2020-10-08T00:00:00+02:00,71034,2681
Berlin,2020-10-08T00:00:00+02:00,16615,232
Brandenburg,2020-10-08T00:00:00+02:00,4561,169
Bremen,2020-10-08T00:00:00+02:00,2805,60
Hamburg,2020-10-08T00:00:00+02:00,8544,276
Hessen,2020-10-08T00:00:00+02:00,20662,557
Mecklenburg-Vorpommern,2020-10-08T00:00:00+02:00,1332,20
Niedersachsen,2020-10-08T00:00:00+02:00,21743,694
Nordrhein-Westfalen,2020-10-08T00:00:00+02:00,75671,1894
Rheinland-Pfalz,2020-10-08T00:00:00+02:00,11499,256
Saarland,2020-10-08T00:00:00+02:00,3499,177
Sachsen,2020-10-08T00:00:00+02:00,7797,243
Sachsen-Anhalt,2020-10-08T00:00:00+02:00,2815,68
Schleswig-Holstein,2020-10-08T00:00:00+02:00,5076,162
Thüringen,2020-10-08T00:00:00+02:00,4260,191
