Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-07T00:00:00+02:00,32762,1497
Bayern,2020-05-07T00:00:00+02:00,43658,2050
Berlin,2020-05-07T00:00:00+02:00,6149,162
Brandenburg,2020-05-07T00:00:00+02:00,2999,129
Bremen,2020-05-07T00:00:00+02:00,963,32
Hamburg,2020-05-07T00:00:00+02:00,4704,194
Hessen,2020-05-07T00:00:00+02:00,8736,396
Mecklenburg-Vorpommern,2020-05-07T00:00:00+02:00,715,19
Niedersachsen,2020-05-07T00:00:00+02:00,10564,478
Nordrhein-Westfalen,2020-05-07T00:00:00+02:00,34249,1372
Rheinland-Pfalz,2020-05-07T00:00:00+02:00,6213,189
Saarland,2020-05-07T00:00:00+02:00,2655,143
Sachsen,2020-05-07T00:00:00+02:00,4836,181
Sachsen-Anhalt,2020-05-07T00:00:00+02:00,1602,48
Schleswig-Holstein,2020-05-07T00:00:00+02:00,2834,120
Thüringen,2020-05-07T00:00:00+02:00,2452,109
