Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-11-26T00:00:00+01:00,139768,2580
Bayern,09,2020-11-26T00:00:00+01:00,193533,3647
Berlin,11,2020-11-26T00:00:00+01:00,60554,508
Brandenburg,12,2020-11-26T00:00:00+01:00,17011,307
Bremen,04,2020-11-26T00:00:00+01:00,9642,114
Hamburg,02,2020-11-26T00:00:00+01:00,23330,347
Hessen,06,2020-11-26T00:00:00+01:00,81327,1163
Mecklenburg-Vorpommern,13,2020-11-26T00:00:00+01:00,5510,57
Niedersachsen,03,2020-11-26T00:00:00+01:00,66802,1079
Nordrhein-Westfalen,05,2020-11-26T00:00:00+01:00,245871,3210
Rheinland-Pfalz,07,2020-11-26T00:00:00+01:00,40847,465
Saarland,10,2020-11-26T00:00:00+01:00,11960,249
Sachsen,14,2020-11-26T00:00:00+01:00,47690,720
Sachsen-Anhalt,15,2020-11-26T00:00:00+01:00,10930,145
Schleswig-Holstein,01,2020-11-26T00:00:00+01:00,13564,242
Thüringen,16,2020-11-26T00:00:00+01:00,15249,327
