Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-02T00:00:00+02:00,37272,1847
Bayern,2020-08-02T00:00:00+02:00,51080,2622
Berlin,2020-08-02T00:00:00+02:00,9319,223
Brandenburg,2020-08-02T00:00:00+02:00,3565,168
Bremen,2020-08-02T00:00:00+02:00,1782,56
Hamburg,2020-08-02T00:00:00+02:00,5405,261
Hessen,2020-08-02T00:00:00+02:00,12117,520
Mecklenburg-Vorpommern,2020-08-02T00:00:00+02:00,875,20
Niedersachsen,2020-08-02T00:00:00+02:00,14515,653
Nordrhein-Westfalen,2020-08-02T00:00:00+02:00,49145,1731
Rheinland-Pfalz,2020-08-02T00:00:00+02:00,7535,239
Saarland,2020-08-02T00:00:00+02:00,2879,174
Sachsen,2020-08-02T00:00:00+02:00,5541,225
Sachsen-Anhalt,2020-08-02T00:00:00+02:00,2030,64
Schleswig-Holstein,2020-08-02T00:00:00+02:00,3463,156
Thüringen,2020-08-02T00:00:00+02:00,3370,182
