Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-07T00:00:00+02:00,20141,433
Bayern,2020-04-07T00:00:00+02:00,26163,481
Berlin,2020-04-07T00:00:00+02:00,3845,28
Brandenburg,2020-04-07T00:00:00+02:00,1384,20
Bremen,2020-04-07T00:00:00+02:00,399,9
Hamburg,2020-04-07T00:00:00+02:00,3059,20
Hessen,2020-04-07T00:00:00+02:00,4837,73
Mecklenburg-Vorpommern,2020-04-07T00:00:00+02:00,531,8
Niedersachsen,2020-04-07T00:00:00+02:00,6200,111
Nordrhein-Westfalen,2020-04-07T00:00:00+02:00,20220,282
Rheinland-Pfalz,2020-04-07T00:00:00+02:00,3992,34
Saarland,2020-04-07T00:00:00+02:00,1532,16
Sachsen,2020-04-07T00:00:00+02:00,2997,38
Sachsen-Anhalt,2020-04-07T00:00:00+02:00,987,12
Schleswig-Holstein,2020-04-07T00:00:00+02:00,1730,24
Thüringen,2020-04-07T00:00:00+02:00,1208,18
