Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-02T00:00:00+02:00,14662,241
Bayern,2020-04-02T00:00:00+02:00,18496,268
Berlin,2020-04-02T00:00:00+02:00,2970,19
Brandenburg,2020-04-02T00:00:00+02:00,995,7
Bremen,2020-04-02T00:00:00+02:00,327,6
Hamburg,2020-04-02T00:00:00+02:00,2406,14
Hessen,2020-04-02T00:00:00+02:00,3707,27
Mecklenburg-Vorpommern,2020-04-02T00:00:00+02:00,438,3
Niedersachsen,2020-04-02T00:00:00+02:00,4695,45
Nordrhein-Westfalen,2020-04-02T00:00:00+02:00,15427,161
Rheinland-Pfalz,2020-04-02T00:00:00+02:00,3132,26
Saarland,2020-04-02T00:00:00+02:00,1020,11
Sachsen,2020-04-02T00:00:00+02:00,2183,18
Sachsen-Anhalt,2020-04-02T00:00:00+02:00,804,8
Schleswig-Holstein,2020-04-02T00:00:00+02:00,1335,11
Thüringen,2020-04-02T00:00:00+02:00,925,7
