Bundesland,Timestamp,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-16T15:00:00+01:00,1105,3,1062,3
Bayern,2020-03-16T15:00:00+01:00,1067,5,965,4
Berlin,2020-03-16T15:00:00+01:00,300,0,300,0
Brandenburg,2020-03-16T15:00:00+01:00,94,0,65,0
Bremen,2020-03-16T15:00:00+01:00,56,0,56,0
Hamburg,2020-03-16T15:00:00+01:00,260,0,255,0
Hessen,2020-03-16T15:00:00+01:00,342,0,241,0
Mecklenburg-Vorpommern,2020-03-16T15:00:00+01:00,51,0,36,0
Niedersachsen,2020-03-16T15:00:00+01:00,391,0,272,0
Nordrhein-Westfalen,2020-03-16T15:00:00+01:00,1541,5,1541,5
Rheinland-Pfalz,2020-03-16T15:00:00+01:00,325,0,325,0
Saarland,2020-03-16T15:00:00+01:00,85,0,32,0
Sachsen,2020-03-16T15:00:00+01:00,140,0,103,0
Sachsen-Anhalt,2020-03-16T15:00:00+01:00,77,0,40,0
Schleswig-Holstein,2020-03-16T15:00:00+01:00,123,0,104,0
Thüringen,2020-03-16T15:00:00+01:00,55,0,36,0
