Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-25T00:00:00+02:00,35446,1827
Bayern,2020-06-25T00:00:00+02:00,48122,2583
Berlin,2020-06-25T00:00:00+02:00,8021,212
Brandenburg,2020-06-25T00:00:00+02:00,3428,165
Bremen,2020-06-25T00:00:00+02:00,1653,49
Hamburg,2020-06-25T00:00:00+02:00,5175,259
Hessen,2020-06-25T00:00:00+02:00,10666,505
Mecklenburg-Vorpommern,2020-06-25T00:00:00+02:00,796,20
Niedersachsen,2020-06-25T00:00:00+02:00,13378,623
Nordrhein-Westfalen,2020-06-25T00:00:00+02:00,41992,1669
Rheinland-Pfalz,2020-06-25T00:00:00+02:00,6940,235
Saarland,2020-06-25T00:00:00+02:00,2801,169
Sachsen,2020-06-25T00:00:00+02:00,5438,223
Sachsen-Anhalt,2020-06-25T00:00:00+02:00,1858,58
Schleswig-Holstein,2020-06-25T00:00:00+02:00,3140,152
Thüringen,2020-06-25T00:00:00+02:00,3225,178
