Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-04T00:00:00+02:00,35807,1837
Bayern,2020-07-04T00:00:00+02:00,48655,2600
Berlin,2020-07-04T00:00:00+02:00,8393,214
Brandenburg,2020-07-04T00:00:00+02:00,3459,167
Bremen,2020-07-04T00:00:00+02:00,1675,53
Hamburg,2020-07-04T00:00:00+02:00,5217,260
Hessen,2020-07-04T00:00:00+02:00,10918,511
Mecklenburg-Vorpommern,2020-07-04T00:00:00+02:00,804,20
Niedersachsen,2020-07-04T00:00:00+02:00,13647,635
Nordrhein-Westfalen,2020-07-04T00:00:00+02:00,43853,1688
Rheinland-Pfalz,2020-07-04T00:00:00+02:00,7080,235
Saarland,2020-07-04T00:00:00+02:00,2805,174
Sachsen,2020-07-04T00:00:00+02:00,5458,224
Sachsen-Anhalt,2020-07-04T00:00:00+02:00,1880,59
Schleswig-Holstein,2020-07-04T00:00:00+02:00,3178,152
Thüringen,2020-07-04T00:00:00+02:00,3267,181
