Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-30T00:00:00+02:00,41773,1866
Bayern,2020-08-30T00:00:00+02:00,57059,2638
Berlin,2020-08-30T00:00:00+02:00,11183,226
Brandenburg,2020-08-30T00:00:00+02:00,3869,169
Bremen,2020-08-30T00:00:00+02:00,1992,56
Hamburg,2020-08-30T00:00:00+02:00,6227,266
Hessen,2020-08-30T00:00:00+02:00,15399,531
Mecklenburg-Vorpommern,2020-08-30T00:00:00+02:00,1007,20
Niedersachsen,2020-08-30T00:00:00+02:00,16690,661
Nordrhein-Westfalen,2020-08-30T00:00:00+02:00,58584,1809
Rheinland-Pfalz,2020-08-30T00:00:00+02:00,9008,243
Saarland,2020-08-30T00:00:00+02:00,3153,174
Sachsen,2020-08-30T00:00:00+02:00,5949,225
Sachsen-Anhalt,2020-08-30T00:00:00+02:00,2232,65
Schleswig-Holstein,2020-08-30T00:00:00+02:00,4022,160
Thüringen,2020-08-30T00:00:00+02:00,3624,186
