Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-04-30T00:00:00+02:00,3487649,15757
Bayern,09,2022-04-30T00:00:00+02:00,4634543,23559
Berlin,11,2022-04-30T00:00:00+02:00,1000143,4485
Brandenburg,12,2022-04-30T00:00:00+02:00,762694,5559
Bremen,04,2022-04-30T00:00:00+02:00,185997,753
Hamburg,02,2022-04-30T00:00:00+02:00,544329,2526
Hessen,06,2022-04-30T00:00:00+02:00,1726514,9918
Mecklenburg-Vorpommern,13,2022-04-30T00:00:00+02:00,467650,2158
Niedersachsen,03,2022-04-30T00:00:00+02:00,2160695,8750
Nordrhein-Westfalen,05,2022-04-30T00:00:00+02:00,4947757,24745
Rheinland-Pfalz,07,2022-04-30T00:00:00+02:00,1076165,5516
Saarland,10,2022-04-30T00:00:00+02:00,300073,1638
Sachsen,14,2022-04-30T00:00:00+02:00,1465979,15285
Sachsen-Anhalt,15,2022-04-30T00:00:00+02:00,691122,5253
Schleswig-Holstein,01,2022-04-30T00:00:00+02:00,655724,2444
Thüringen,16,2022-04-30T00:00:00+02:00,691033,7105
