Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-25T00:00:00+02:00,30169,1189
Bayern,2020-04-25T00:00:00+02:00,40547,1566
Berlin,2020-04-25T00:00:00+02:00,5525,113
Brandenburg,2020-04-25T00:00:00+02:00,2627,97
Bremen,2020-04-25T00:00:00+02:00,719,27
Hamburg,2020-04-25T00:00:00+02:00,4400,139
Hessen,2020-04-25T00:00:00+02:00,7837,305
Mecklenburg-Vorpommern,2020-04-25T00:00:00+02:00,667,16
Niedersachsen,2020-04-25T00:00:00+02:00,9691,377
Nordrhein-Westfalen,2020-04-25T00:00:00+02:00,31465,1084
Rheinland-Pfalz,2020-04-25T00:00:00+02:00,5767,138
Saarland,2020-04-25T00:00:00+02:00,2468,107
Sachsen,2020-04-25T00:00:00+02:00,4406,141
Sachsen-Anhalt,2020-04-25T00:00:00+02:00,1480,35
Schleswig-Holstein,2020-04-25T00:00:00+02:00,2612,95
Thüringen,2020-04-25T00:00:00+02:00,2058,71
