Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-04-17T00:00:00+02:00,5075350,19589
Bayern,09,2023-04-17T00:00:00+02:00,6759692,29196
Berlin,11,2023-04-17T00:00:00+02:00,1438472,5694
Brandenburg,12,2023-04-17T00:00:00+02:00,1118734,6606
Bremen,04,2023-04-17T00:00:00+02:00,304672,1002
Hamburg,02,2023-04-17T00:00:00+02:00,809773,3695
Hessen,06,2023-04-17T00:00:00+02:00,2937669,12702
Mecklenburg-Vorpommern,13,2023-04-17T00:00:00+02:00,715700,2813
Niedersachsen,03,2023-04-17T00:00:00+02:00,3875155,14072
Nordrhein-Westfalen,05,2023-04-17T00:00:00+02:00,8079266,32082
Rheinland-Pfalz,07,2023-04-17T00:00:00+02:00,1775999,7128
Saarland,10,2023-04-17T00:00:00+02:00,495045,2187
Sachsen,14,2023-04-17T00:00:00+02:00,1964058,16933
Sachsen-Anhalt,15,2023-04-17T00:00:00+02:00,965456,6361
Schleswig-Holstein,01,2023-04-17T00:00:00+02:00,1179908,3557
Thüringen,16,2023-04-17T00:00:00+02:00,887437,8375
