Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-03T00:00:00+02:00,42614,1868
Bayern,2020-09-03T00:00:00+02:00,58077,2641
Berlin,2020-09-03T00:00:00+02:00,11431,226
Brandenburg,2020-09-03T00:00:00+02:00,3898,169
Bremen,2020-09-03T00:00:00+02:00,2037,58
Hamburg,2020-09-03T00:00:00+02:00,6351,267
Hessen,2020-09-03T00:00:00+02:00,15776,534
Mecklenburg-Vorpommern,2020-09-03T00:00:00+02:00,1015,20
Niedersachsen,2020-09-03T00:00:00+02:00,16992,665
Nordrhein-Westfalen,2020-09-03T00:00:00+02:00,59527,1819
Rheinland-Pfalz,2020-09-03T00:00:00+02:00,9212,243
Saarland,2020-09-03T00:00:00+02:00,3168,174
Sachsen,2020-09-03T00:00:00+02:00,6065,225
Sachsen-Anhalt,2020-09-03T00:00:00+02:00,2260,65
Schleswig-Holstein,2020-09-03T00:00:00+02:00,4091,161
Thüringen,2020-09-03T00:00:00+02:00,3652,186
