Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-31T00:00:00+02:00,34718,1748
Bayern,2020-05-31T00:00:00+02:00,46917,2450
Berlin,2020-05-31T00:00:00+02:00,6800,198
Brandenburg,2020-05-31T00:00:00+02:00,3271,155
Bremen,2020-05-31T00:00:00+02:00,1398,42
Hamburg,2020-05-31T00:00:00+02:00,5087,252
Hessen,2020-05-31T00:00:00+02:00,10033,477
Mecklenburg-Vorpommern,2020-05-31T00:00:00+02:00,761,20
Niedersachsen,2020-05-31T00:00:00+02:00,11992,593
Nordrhein-Westfalen,2020-05-31T00:00:00+02:00,38000,1597
Rheinland-Pfalz,2020-05-31T00:00:00+02:00,6694,230
Saarland,2020-05-31T00:00:00+02:00,2724,163
Sachsen,2020-05-31T00:00:00+02:00,5304,213
Sachsen-Anhalt,2020-05-31T00:00:00+02:00,1705,55
Schleswig-Holstein,2020-05-31T00:00:00+02:00,3094,145
Thüringen,2020-05-31T00:00:00+02:00,2984,162
