Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-02-24T00:00:00+01:00,5043196,19167
Bayern,09,2023-02-24T00:00:00+01:00,6718872,28417
Berlin,11,2023-02-24T00:00:00+01:00,1426366,5524
Brandenburg,12,2023-02-24T00:00:00+01:00,1110823,6472
Bremen,04,2023-02-24T00:00:00+01:00,302579,962
Hamburg,02,2023-02-24T00:00:00+01:00,805482,3598
Hessen,06,2023-02-24T00:00:00+01:00,2914288,12310
Mecklenburg-Vorpommern,13,2023-02-24T00:00:00+01:00,709968,2755
Niedersachsen,03,2023-02-24T00:00:00+01:00,3848315,13526
Nordrhein-Westfalen,05,2023-02-24T00:00:00+01:00,7997575,31174
Rheinland-Pfalz,07,2023-02-24T00:00:00+01:00,1758975,6928
Saarland,10,2023-02-24T00:00:00+01:00,489160,2114
Sachsen,14,2023-02-24T00:00:00+01:00,1951501,16785
Sachsen-Anhalt,15,2023-02-24T00:00:00+01:00,958550,6261
Schleswig-Holstein,01,2023-02-24T00:00:00+01:00,1172807,3463
Thüringen,16,2023-02-24T00:00:00+01:00,881632,8267
