Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-01-16T00:00:00+01:00,271976,6050
Bayern,09,2021-01-16T00:00:00+01:00,372696,8639
Berlin,11,2021-01-16T00:00:00+01:00,111730,1800
Brandenburg,12,2021-01-16T00:00:00+01:00,56036,1549
Bremen,04,2021-01-16T00:00:00+01:00,14796,230
Hamburg,02,2021-01-16T00:00:00+01:00,42349,895
Hessen,06,2021-01-16T00:00:00+01:00,157255,3907
Mecklenburg-Vorpommern,13,2021-01-16T00:00:00+01:00,16361,296
Niedersachsen,03,2021-01-16T00:00:00+01:00,127115,2604
Nordrhein-Westfalen,05,2021-01-16T00:00:00+01:00,447493,9033
Rheinland-Pfalz,07,2021-01-16T00:00:00+01:00,84229,2035
Saarland,10,2021-01-16T00:00:00+01:00,22939,606
Sachsen,14,2021-01-16T00:00:00+01:00,165292,4982
Sachsen-Anhalt,15,2021-01-16T00:00:00+01:00,42249,1089
Schleswig-Holstein,01,2021-01-16T00:00:00+01:00,30581,648
Thüringen,16,2021-01-16T00:00:00+01:00,56539,1611
