Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-12T00:00:00+02:00,54345,1901
Bayern,2020-10-12T00:00:00+02:00,73186,2685
Berlin,2020-10-12T00:00:00+02:00,18075,234
Brandenburg,2020-10-12T00:00:00+02:00,4771,169
Bremen,2020-10-12T00:00:00+02:00,3080,61
Hamburg,2020-10-12T00:00:00+02:00,8963,277
Hessen,2020-10-12T00:00:00+02:00,22039,562
Mecklenburg-Vorpommern,2020-10-12T00:00:00+02:00,1373,20
Niedersachsen,2020-10-12T00:00:00+02:00,22662,697
Nordrhein-Westfalen,2020-10-12T00:00:00+02:00,79981,1913
Rheinland-Pfalz,2020-10-12T00:00:00+02:00,12106,256
Saarland,2020-10-12T00:00:00+02:00,3703,177
Sachsen,2020-10-12T00:00:00+02:00,8413,248
Sachsen-Anhalt,2020-10-12T00:00:00+02:00,2932,68
Schleswig-Holstein,2020-10-12T00:00:00+02:00,5260,162
Thüringen,2020-10-12T00:00:00+02:00,4442,191
