Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-09T00:00:00+02:00,21603,519
Bayern,2020-04-09T00:00:00+02:00,28827,635
Berlin,2020-04-09T00:00:00+02:00,4202,37
Brandenburg,2020-04-09T00:00:00+02:00,1578,30
Bremen,2020-04-09T00:00:00+02:00,445,11
Hamburg,2020-04-09T00:00:00+02:00,3320,44
Hessen,2020-04-09T00:00:00+02:00,5242,100
Mecklenburg-Vorpommern,2020-04-09T00:00:00+02:00,572,11
Niedersachsen,2020-04-09T00:00:00+02:00,6804,141
Nordrhein-Westfalen,2020-04-09T00:00:00+02:00,21961,384
Rheinland-Pfalz,2020-04-09T00:00:00+02:00,4336,50
Saarland,2020-04-09T00:00:00+02:00,1693,23
Sachsen,2020-04-09T00:00:00+02:00,3261,52
Sachsen-Anhalt,2020-04-09T00:00:00+02:00,1075,16
Schleswig-Holstein,2020-04-09T00:00:00+02:00,1932,34
Thüringen,2020-04-09T00:00:00+02:00,1351,20
