Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-03T00:00:00+02:00,35771,1839
Bayern,2020-07-03T00:00:00+02:00,48587,2598
Berlin,2020-07-03T00:00:00+02:00,8345,214
Brandenburg,2020-07-03T00:00:00+02:00,3450,166
Bremen,2020-07-03T00:00:00+02:00,1675,53
Hamburg,2020-07-03T00:00:00+02:00,5212,260
Hessen,2020-07-03T00:00:00+02:00,10894,509
Mecklenburg-Vorpommern,2020-07-03T00:00:00+02:00,803,20
Niedersachsen,2020-07-03T00:00:00+02:00,13632,633
Nordrhein-Westfalen,2020-07-03T00:00:00+02:00,43660,1686
Rheinland-Pfalz,2020-07-03T00:00:00+02:00,7068,235
Saarland,2020-07-03T00:00:00+02:00,2805,174
Sachsen,2020-07-03T00:00:00+02:00,5453,224
Sachsen-Anhalt,2020-07-03T00:00:00+02:00,1878,59
Schleswig-Holstein,2020-07-03T00:00:00+02:00,3176,152
Thüringen,2020-07-03T00:00:00+02:00,3265,181
