Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-01-17T00:00:00+01:00,4991149,18763
Bayern,09,2023-01-17T00:00:00+01:00,6637045,27820
Berlin,11,2023-01-17T00:00:00+01:00,1412837,5381
Brandenburg,12,2023-01-17T00:00:00+01:00,1100442,6389
Bremen,04,2023-01-17T00:00:00+01:00,300093,944
Hamburg,02,2023-01-17T00:00:00+01:00,800683,3463
Hessen,06,2023-01-17T00:00:00+01:00,2871839,12052
Mecklenburg-Vorpommern,13,2023-01-17T00:00:00+01:00,703758,2715
Niedersachsen,03,2023-01-17T00:00:00+01:00,3791874,12767
Nordrhein-Westfalen,05,2023-01-17T00:00:00+01:00,7864627,30429
Rheinland-Pfalz,07,2023-01-17T00:00:00+01:00,1734352,6755
Saarland,10,2023-01-17T00:00:00+01:00,482547,2045
Sachsen,14,2023-01-17T00:00:00+01:00,1939729,16675
Sachsen-Anhalt,15,2023-01-17T00:00:00+01:00,950831,6191
Schleswig-Holstein,01,2023-01-17T00:00:00+01:00,1163998,3400
Thüringen,16,2023-01-17T00:00:00+01:00,876553,8176
