Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-10-09T00:00:00+02:00,584728,10758
Bayern,09,2021-10-09T00:00:00+02:00,745213,15767
Berlin,11,2021-10-09T00:00:00+02:00,210105,3647
Brandenburg,12,2021-10-09T00:00:00+02:00,117781,3866
Bremen,04,2021-10-09T00:00:00+02:00,33764,517
Hamburg,02,2021-10-09T00:00:00+02:00,93052,1749
Hessen,06,2021-10-09T00:00:00+02:00,338227,7780
Mecklenburg-Vorpommern,13,2021-10-09T00:00:00+02:00,49868,1206
Niedersachsen,03,2021-10-09T00:00:00+02:00,304842,6000
Nordrhein-Westfalen,05,2021-10-09T00:00:00+02:00,971040,17919
Rheinland-Pfalz,07,2021-10-09T00:00:00+02:00,183509,4015
Saarland,10,2021-10-09T00:00:00+02:00,47957,1053
Sachsen,14,2021-10-09T00:00:00+02:00,301852,10234
Sachsen-Anhalt,15,2021-10-09T00:00:00+02:00,105498,3549
Schleswig-Holstein,01,2021-10-09T00:00:00+02:00,77284,1692
Thüringen,16,2021-10-09T00:00:00+02:00,137941,4426
