Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-02-03T00:00:00+01:00,1432455,13720
Bayern,09,2022-02-03T00:00:00+01:00,1882637,20563
Berlin,11,2022-02-03T00:00:00+01:00,570739,4129
Brandenburg,12,2022-02-03T00:00:00+01:00,362782,5012
Bremen,04,2022-02-03T00:00:00+01:00,90518,654
Hamburg,02,2022-02-03T00:00:00+01:00,265604,2150
Hessen,06,2022-02-03T00:00:00+01:00,760014,8855
Mecklenburg-Vorpommern,13,2022-02-03T00:00:00+01:00,156320,1650
Niedersachsen,03,2022-02-03T00:00:00+01:00,691192,7120
Nordrhein-Westfalen,05,2022-02-03T00:00:00+01:00,2113546,21193
Rheinland-Pfalz,07,2022-02-03T00:00:00+01:00,403218,4819
Saarland,10,2022-02-03T00:00:00+01:00,109740,1335
Sachsen,14,2022-02-03T00:00:00+01:00,744799,14105
Sachsen-Anhalt,15,2022-02-03T00:00:00+01:00,278722,4613
Schleswig-Holstein,01,2022-02-03T00:00:00+01:00,232964,1984
Thüringen,16,2022-02-03T00:00:00+01:00,327514,6432
