Bundesland,Timestamp,Confirmed,Deaths
Brandenburg,2020-03-03T15:00:00+01:00,1,0
Berlin,2020-03-03T15:00:00+01:00,3,0
Baden-Württemberg,2020-03-03T15:00:00+01:00,38,0
Bayern,2020-03-03T15:00:00+01:00,37,0
Bremen,2020-03-03T15:00:00+01:00,2,0
Hessen,2020-03-03T15:00:00+01:00,12,0
Hamburg,2020-03-03T15:00:00+01:00,2,0
Niedersachsen,2020-03-03T15:00:00+01:00,2,0
Nordrhein-Westfalen,2020-03-03T15:00:00+01:00,103,0
Rheinland-Pfalz,2020-03-03T15:00:00+01:00,2,0
Schleswig-Holstein,2020-03-03T15:00:00+01:00,2,0
Sachsen,2020-03-03T15:00:00+01:00,1,0
Thüringen,2020-03-03T15:00:00+01:00,1,0
