Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-02-20T00:00:00+01:00,1905745,14060
Bayern,09,2022-02-20T00:00:00+01:00,2506858,21050
Berlin,11,2022-02-20T00:00:00+01:00,692001,4213
Brandenburg,12,2022-02-20T00:00:00+01:00,474182,5133
Bremen,04,2022-02-20T00:00:00+01:00,109276,673
Hamburg,02,2022-02-20T00:00:00+01:00,333985,2268
Hessen,06,2022-02-20T00:00:00+01:00,995777,9075
Mecklenburg-Vorpommern,13,2022-02-20T00:00:00+01:00,212388,1722
Niedersachsen,03,2022-02-20T00:00:00+01:00,938764,7325
Nordrhein-Westfalen,05,2022-02-20T00:00:00+01:00,2810933,21871
Rheinland-Pfalz,07,2022-02-20T00:00:00+01:00,528607,4926
Saarland,10,2022-02-20T00:00:00+01:00,145449,1369
Sachsen,14,2022-02-20T00:00:00+01:00,872976,14264
Sachsen-Anhalt,15,2022-02-20T00:00:00+01:00,364830,4706
Schleswig-Holstein,01,2022-02-20T00:00:00+01:00,290955,2073
Thüringen,16,2022-02-20T00:00:00+01:00,380400,6547
