Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-17T00:00:00+02:00,38512,1859
Bayern,2020-08-17T00:00:00+02:00,52984,2631
Berlin,2020-08-17T00:00:00+02:00,10253,224
Brandenburg,2020-08-17T00:00:00+02:00,3703,169
Bremen,2020-08-17T00:00:00+02:00,1845,56
Hamburg,2020-08-17T00:00:00+02:00,5887,264
Hessen,2020-08-17T00:00:00+02:00,13486,526
Mecklenburg-Vorpommern,2020-08-17T00:00:00+02:00,973,20
Niedersachsen,2020-08-17T00:00:00+02:00,15428,656
Nordrhein-Westfalen,2020-08-17T00:00:00+02:00,54653,1778
Rheinland-Pfalz,2020-08-17T00:00:00+02:00,8148,242
Saarland,2020-08-17T00:00:00+02:00,3000,174
Sachsen,2020-08-17T00:00:00+02:00,5731,225
Sachsen-Anhalt,2020-08-17T00:00:00+02:00,2123,64
Schleswig-Holstein,2020-08-17T00:00:00+02:00,3790,158
Thüringen,2020-08-17T00:00:00+02:00,3498,186
