Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-08-03T00:00:00+02:00,505995,10401
Bayern,09,2021-08-03T00:00:00+02:00,654078,15340
Berlin,11,2021-08-03T00:00:00+02:00,183007,3583
Brandenburg,12,2021-08-03T00:00:00+02:00,109299,3818
Bremen,04,2021-08-03T00:00:00+02:00,27932,493
Hamburg,02,2021-08-03T00:00:00+02:00,79197,1620
Hessen,06,2021-08-03T00:00:00+02:00,295099,7586
Mecklenburg-Vorpommern,13,2021-08-03T00:00:00+02:00,44467,1180
Niedersachsen,03,2021-08-03T00:00:00+02:00,265391,5817
Nordrhein-Westfalen,05,2021-08-03T00:00:00+02:00,828457,17296
Rheinland-Pfalz,07,2021-08-03T00:00:00+02:00,157689,3906
Saarland,10,2021-08-03T00:00:00+02:00,42153,1029
Sachsen,14,2021-08-03T00:00:00+02:00,286694,10135
Sachsen-Anhalt,15,2021-08-03T00:00:00+02:00,99569,3454
Schleswig-Holstein,01,2021-08-03T00:00:00+02:00,65586,1639
Thüringen,16,2021-08-03T00:00:00+02:00,129262,4382
