Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-27T00:00:00+02:00,35530,1829
Bayern,2020-06-27T00:00:00+02:00,48262,2591
Berlin,2020-06-27T00:00:00+02:00,8145,213
Brandenburg,2020-06-27T00:00:00+02:00,3437,165
Bremen,2020-06-27T00:00:00+02:00,1659,50
Hamburg,2020-06-27T00:00:00+02:00,5178,259
Hessen,2020-06-27T00:00:00+02:00,10731,506
Mecklenburg-Vorpommern,2020-06-27T00:00:00+02:00,798,20
Niedersachsen,2020-06-27T00:00:00+02:00,13456,627
Nordrhein-Westfalen,2020-06-27T00:00:00+02:00,42571,1674
Rheinland-Pfalz,2020-06-27T00:00:00+02:00,6971,235
Saarland,2020-06-27T00:00:00+02:00,2802,172
Sachsen,2020-06-27T00:00:00+02:00,5444,222
Sachsen-Anhalt,2020-06-27T00:00:00+02:00,1865,58
Schleswig-Holstein,2020-06-27T00:00:00+02:00,3146,152
Thüringen,2020-06-27T00:00:00+02:00,3248,181
