Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-21T00:00:00+02:00,34175,1680
Bayern,2020-05-21T00:00:00+02:00,45929,2348
Berlin,2020-05-21T00:00:00+02:00,6555,186
Brandenburg,2020-05-21T00:00:00+02:00,3205,151
Bremen,2020-05-21T00:00:00+02:00,1273,39
Hamburg,2020-05-21T00:00:00+02:00,5053,239
Hessen,2020-05-21T00:00:00+02:00,9574,451
Mecklenburg-Vorpommern,2020-05-21T00:00:00+02:00,762,20
Niedersachsen,2020-05-21T00:00:00+02:00,11362,566
Nordrhein-Westfalen,2020-05-21T00:00:00+02:00,36912,1546
Rheinland-Pfalz,2020-05-21T00:00:00+02:00,6555,224
Saarland,2020-05-21T00:00:00+02:00,2706,157
Sachsen,2020-05-21T00:00:00+02:00,5185,201
Sachsen-Anhalt,2020-05-21T00:00:00+02:00,1689,54
Schleswig-Holstein,2020-05-21T00:00:00+02:00,3021,134
Thüringen,2020-05-21T00:00:00+02:00,2796,151
