Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-11-16T00:00:00+01:00,4863269,17970
Bayern,09,2022-11-16T00:00:00+01:00,6508620,26858
Berlin,11,2022-11-16T00:00:00+01:00,1347753,5038
Brandenburg,12,2022-11-16T00:00:00+01:00,1044272,6122
Bremen,04,2022-11-16T00:00:00+01:00,281957,879
Hamburg,02,2022-11-16T00:00:00+01:00,769534,3209
Hessen,06,2022-11-16T00:00:00+01:00,2767668,11549
Mecklenburg-Vorpommern,13,2022-11-16T00:00:00+01:00,664901,2565
Niedersachsen,03,2022-11-16T00:00:00+01:00,3535149,11536
Nordrhein-Westfalen,05,2022-11-16T00:00:00+01:00,7437939,28639
Rheinland-Pfalz,07,2022-11-16T00:00:00+01:00,1670104,6472
Saarland,10,2022-11-16T00:00:00+01:00,465328,1949
Sachsen,14,2022-11-16T00:00:00+01:00,1884522,16310
Sachsen-Anhalt,15,2022-11-16T00:00:00+01:00,915355,5953
Schleswig-Holstein,01,2022-11-16T00:00:00+01:00,1106023,3099
Thüringen,16,2022-11-16T00:00:00+01:00,856790,7882
