Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-07-09T00:00:00+02:00,501467,10312
Bayern,09,2021-07-09T00:00:00+02:00,648569,15289
Berlin,11,2021-07-09T00:00:00+02:00,180493,3563
Brandenburg,12,2021-07-09T00:00:00+02:00,108776,3811
Bremen,04,2021-07-09T00:00:00+02:00,27527,488
Hamburg,02,2021-07-09T00:00:00+02:00,77580,1598
Hessen,06,2021-07-09T00:00:00+02:00,291541,7552
Mecklenburg-Vorpommern,13,2021-07-09T00:00:00+02:00,44174,1161
Niedersachsen,03,2021-07-09T00:00:00+02:00,261494,5794
Nordrhein-Westfalen,05,2021-07-09T00:00:00+02:00,817566,17197
Rheinland-Pfalz,07,2021-07-09T00:00:00+02:00,155530,3894
Saarland,10,2021-07-09T00:00:00+02:00,41600,1028
Sachsen,14,2021-07-09T00:00:00+02:00,285999,10102
Sachsen-Anhalt,15,2021-07-09T00:00:00+02:00,99275,3428
Schleswig-Holstein,01,2021-07-09T00:00:00+02:00,64038,1623
Thüringen,16,2021-07-09T00:00:00+02:00,128839,4350
