Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-06-05T00:00:00+02:00,494953,10014
Bayern,09,2021-06-05T00:00:00+02:00,641704,15007
Berlin,11,2021-06-05T00:00:00+02:00,179087,3506
Brandenburg,12,2021-06-05T00:00:00+02:00,108510,3743
Bremen,04,2021-06-05T00:00:00+02:00,27219,475
Hamburg,02,2021-06-05T00:00:00+02:00,76504,1567
Hessen,06,2021-06-05T00:00:00+02:00,288023,7393
Mecklenburg-Vorpommern,13,2021-06-05T00:00:00+02:00,43971,1126
Niedersachsen,03,2021-06-05T00:00:00+02:00,259277,5659
Nordrhein-Westfalen,05,2021-06-05T00:00:00+02:00,809270,16852
Rheinland-Pfalz,07,2021-06-05T00:00:00+02:00,153619,3752
Saarland,10,2021-06-05T00:00:00+02:00,40998,1012
Sachsen,14,2021-06-05T00:00:00+02:00,284657,9815
Sachsen-Anhalt,15,2021-06-05T00:00:00+02:00,98778,3368
Schleswig-Holstein,01,2021-06-05T00:00:00+02:00,63324,1603
Thüringen,16,2021-06-05T00:00:00+02:00,128033,4256
