Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-31T00:00:00+02:00,41942,1866
Bayern,2020-08-31T00:00:00+02:00,57219,2639
Berlin,2020-08-31T00:00:00+02:00,11189,226
Brandenburg,2020-08-31T00:00:00+02:00,3870,169
Bremen,2020-08-31T00:00:00+02:00,1993,56
Hamburg,2020-08-31T00:00:00+02:00,6250,266
Hessen,2020-08-31T00:00:00+02:00,15431,531
Mecklenburg-Vorpommern,2020-08-31T00:00:00+02:00,1008,20
Niedersachsen,2020-08-31T00:00:00+02:00,16741,661
Nordrhein-Westfalen,2020-08-31T00:00:00+02:00,58687,1811
Rheinland-Pfalz,2020-08-31T00:00:00+02:00,9053,243
Saarland,2020-08-31T00:00:00+02:00,3154,174
Sachsen,2020-08-31T00:00:00+02:00,5953,225
Sachsen-Anhalt,2020-08-31T00:00:00+02:00,2234,65
Schleswig-Holstein,2020-08-31T00:00:00+02:00,4029,160
Thüringen,2020-08-31T00:00:00+02:00,3628,186
