Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-13T00:00:00+02:00,35090,1805
Bayern,2020-06-13T00:00:00+02:00,47612,2540
Berlin,2020-06-13T00:00:00+02:00,7252,208
Brandenburg,2020-06-13T00:00:00+02:00,3326,163
Bremen,2020-06-13T00:00:00+02:00,1581,45
Hamburg,2020-06-13T00:00:00+02:00,5139,255
Hessen,2020-06-13T00:00:00+02:00,10321,491
Mecklenburg-Vorpommern,2020-06-13T00:00:00+02:00,781,20
Niedersachsen,2020-06-13T00:00:00+02:00,12822,613
Nordrhein-Westfalen,2020-06-13T00:00:00+02:00,39137,1643
Rheinland-Pfalz,2020-06-13T00:00:00+02:00,6838,231
Saarland,2020-06-13T00:00:00+02:00,2770,168
Sachsen,2020-06-13T00:00:00+02:00,5345,219
Sachsen-Anhalt,2020-06-13T00:00:00+02:00,1734,56
Schleswig-Holstein,2020-06-13T00:00:00+02:00,3120,150
Thüringen,2020-06-13T00:00:00+02:00,3154,174
