Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-02-01T00:00:00+01:00,5006200,18963
Bayern,09,2023-02-01T00:00:00+01:00,6662566,28083
Berlin,11,2023-02-01T00:00:00+01:00,1417918,5429
Brandenburg,12,2023-02-01T00:00:00+01:00,1103694,6429
Bremen,04,2023-02-01T00:00:00+01:00,301269,955
Hamburg,02,2023-02-01T00:00:00+01:00,802503,3526
Hessen,06,2023-02-01T00:00:00+01:00,2884791,12151
Mecklenburg-Vorpommern,13,2023-02-01T00:00:00+01:00,706457,2733
Niedersachsen,03,2023-02-01T00:00:00+01:00,3816038,13096
Nordrhein-Westfalen,05,2023-02-01T00:00:00+01:00,7909864,30822
Rheinland-Pfalz,07,2023-02-01T00:00:00+01:00,1741346,6825
Saarland,10,2023-02-01T00:00:00+01:00,484373,2077
Sachsen,14,2023-02-01T00:00:00+01:00,1944036,16733
Sachsen-Anhalt,15,2023-02-01T00:00:00+01:00,953639,6228
Schleswig-Holstein,01,2023-02-01T00:00:00+01:00,1167003,3441
Thüringen,16,2023-02-01T00:00:00+01:00,878136,8220
