Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-29T00:00:00+02:00,49208,1880
Bayern,2020-09-29T00:00:00+02:00,67763,2664
Berlin,2020-09-29T00:00:00+02:00,14327,228
Brandenburg,2020-09-29T00:00:00+02:00,4251,169
Bremen,2020-09-29T00:00:00+02:00,2385,59
Hamburg,2020-09-29T00:00:00+02:00,7750,269
Hessen,2020-09-29T00:00:00+02:00,18788,551
Mecklenburg-Vorpommern,2020-09-29T00:00:00+02:00,1168,20
Niedersachsen,2020-09-29T00:00:00+02:00,20026,682
Nordrhein-Westfalen,2020-09-29T00:00:00+02:00,69284,1867
Rheinland-Pfalz,2020-09-29T00:00:00+02:00,10630,253
Saarland,2020-09-29T00:00:00+02:00,3297,177
Sachsen,2020-09-29T00:00:00+02:00,7151,233
Sachsen-Anhalt,2020-09-29T00:00:00+02:00,2613,68
Schleswig-Holstein,2020-09-29T00:00:00+02:00,4724,161
Thüringen,2020-09-29T00:00:00+02:00,4056,190
