Area,Bundesland,Timestamp,Confirmed,Deaths
Schleswig-Flensburg,Schleswig-Holstein,2020-10-22T00:00:00+02:00,247,5
Segeberg,Schleswig-Holstein,2020-10-22T00:00:00+02:00,645,7
Steinburg,Schleswig-Holstein,2020-10-22T00:00:00+02:00,258,3
Stormarn,Schleswig-Holstein,2020-10-22T00:00:00+02:00,787,35
Altenburger Land,Thüringen,2020-10-22T00:00:00+02:00,168,4
Eichsfeld,Thüringen,2020-10-22T00:00:00+02:00,301,11
Eisenach,Thüringen,2020-10-22T00:00:00+02:00,51,4
Erfurt,Thüringen,2020-10-22T00:00:00+02:00,338,3
Gera,Thüringen,2020-10-22T00:00:00+02:00,373,22
Gotha,Thüringen,2020-10-22T00:00:00+02:00,429,31
Greiz,Thüringen,2020-10-22T00:00:00+02:00,747,48
Hildburghausen,Thüringen,2020-10-22T00:00:00+02:00,105,1
Ilm-Kreis,Thüringen,2020-10-22T00:00:00+02:00,254,7
Jena,Thüringen,2020-10-22T00:00:00+02:00,295,4
Kyffhäuserkreis,Thüringen,2020-10-22T00:00:00+02:00,78,0
Nordhausen,Thüringen,2020-10-22T00:00:00+02:00,90,2
Saale-Holzland-Kreis,Thüringen,2020-10-22T00:00:00+02:00,183,4
Saale-Orla-Kreis,Thüringen,2020-10-22T00:00:00+02:00,239,12
Saalfeld-Rudolstadt,Thüringen,2020-10-22T00:00:00+02:00,129,0
Schmalkalden-Meiningen,Thüringen,2020-10-22T00:00:00+02:00,268,7
Sonneberg,Thüringen,2020-10-22T00:00:00+02:00,334,25
Suhl,Thüringen,2020-10-22T00:00:00+02:00,42,2
Sömmerda,Thüringen,2020-10-22T00:00:00+02:00,147,2
Unstrut-Hainich-Kreis,Thüringen,2020-10-22T00:00:00+02:00,179,4
Wartburgkreis,Thüringen,2020-10-22T00:00:00+02:00,168,2
Weimar,Thüringen,2020-10-22T00:00:00+02:00,152,0
Weimarer Land,Thüringen,2020-10-22T00:00:00+02:00,180,6
