Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-17T00:00:00+02:00,58653,1927
Bayern,2020-10-17T00:00:00+02:00,77904,2714
Berlin,2020-10-17T00:00:00+02:00,20764,240
Brandenburg,2020-10-17T00:00:00+02:00,5305,172
Bremen,2020-10-17T00:00:00+02:00,3477,62
Hamburg,2020-10-17T00:00:00+02:00,9457,278
Hessen,2020-10-17T00:00:00+02:00,25033,572
Mecklenburg-Vorpommern,2020-10-17T00:00:00+02:00,1590,20
Niedersachsen,2020-10-17T00:00:00+02:00,25287,710
Nordrhein-Westfalen,2020-10-17T00:00:00+02:00,88204,1943
Rheinland-Pfalz,2020-10-17T00:00:00+02:00,13227,263
Saarland,2020-10-17T00:00:00+02:00,4221,177
Sachsen,2020-10-17T00:00:00+02:00,9738,257
Sachsen-Anhalt,2020-10-17T00:00:00+02:00,3134,71
Schleswig-Holstein,2020-10-17T00:00:00+02:00,5600,163
Thüringen,2020-10-17T00:00:00+02:00,4793,198
