Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-16T00:00:00+02:00,38480,1859
Bayern,2020-08-16T00:00:00+02:00,52888,2631
Berlin,2020-08-16T00:00:00+02:00,10238,224
Brandenburg,2020-08-16T00:00:00+02:00,3697,169
Bremen,2020-08-16T00:00:00+02:00,1841,56
Hamburg,2020-08-16T00:00:00+02:00,5878,264
Hessen,2020-08-16T00:00:00+02:00,13433,526
Mecklenburg-Vorpommern,2020-08-16T00:00:00+02:00,972,20
Niedersachsen,2020-08-16T00:00:00+02:00,15384,656
Nordrhein-Westfalen,2020-08-16T00:00:00+02:00,54390,1777
Rheinland-Pfalz,2020-08-16T00:00:00+02:00,8121,242
Saarland,2020-08-16T00:00:00+02:00,3000,174
Sachsen,2020-08-16T00:00:00+02:00,5730,225
Sachsen-Anhalt,2020-08-16T00:00:00+02:00,2123,64
Schleswig-Holstein,2020-08-16T00:00:00+02:00,3782,158
Thüringen,2020-08-16T00:00:00+02:00,3496,186
