Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-10T00:00:00+02:00,37791,1858
Bayern,2020-08-10T00:00:00+02:00,51848,2627
Berlin,2020-08-10T00:00:00+02:00,9698,224
Brandenburg,2020-08-10T00:00:00+02:00,3627,169
Bremen,2020-08-10T00:00:00+02:00,1804,56
Hamburg,2020-08-10T00:00:00+02:00,5678,262
Hessen,2020-08-10T00:00:00+02:00,12737,525
Mecklenburg-Vorpommern,2020-08-10T00:00:00+02:00,938,20
Niedersachsen,2020-08-10T00:00:00+02:00,14974,654
Nordrhein-Westfalen,2020-08-10T00:00:00+02:00,51762,1759
Rheinland-Pfalz,2020-08-10T00:00:00+02:00,7832,239
Saarland,2020-08-10T00:00:00+02:00,2930,174
Sachsen,2020-08-10T00:00:00+02:00,5632,225
Sachsen-Anhalt,2020-08-10T00:00:00+02:00,2061,64
Schleswig-Holstein,2020-08-10T00:00:00+02:00,3588,158
Thüringen,2020-08-10T00:00:00+02:00,3427,183
