Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-13T00:00:00+02:00,45070,1867
Bayern,2020-09-13T00:00:00+02:00,61705,2645
Berlin,2020-09-13T00:00:00+02:00,12254,226
Brandenburg,2020-09-13T00:00:00+02:00,4005,169
Bremen,2020-09-13T00:00:00+02:00,2130,58
Hamburg,2020-09-13T00:00:00+02:00,6814,268
Hessen,2020-09-13T00:00:00+02:00,16808,539
Mecklenburg-Vorpommern,2020-09-13T00:00:00+02:00,1055,20
Niedersachsen,2020-09-13T00:00:00+02:00,17844,667
Nordrhein-Westfalen,2020-09-13T00:00:00+02:00,62079,1828
Rheinland-Pfalz,2020-09-13T00:00:00+02:00,9717,246
Saarland,2020-09-13T00:00:00+02:00,3243,175
Sachsen,2020-09-13T00:00:00+02:00,6365,226
Sachsen-Anhalt,2020-09-13T00:00:00+02:00,2337,66
Schleswig-Holstein,2020-09-13T00:00:00+02:00,4222,161
Thüringen,2020-09-13T00:00:00+02:00,3780,188
