Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-08-05T00:00:00+02:00,506733,10422
Bayern,09,2021-08-05T00:00:00+02:00,654776,15348
Berlin,11,2021-08-05T00:00:00+02:00,183583,3585
Brandenburg,12,2021-08-05T00:00:00+02:00,109432,3818
Bremen,04,2021-08-05T00:00:00+02:00,27995,493
Hamburg,02,2021-08-05T00:00:00+02:00,79471,1621
Hessen,06,2021-08-05T00:00:00+02:00,295667,7592
Mecklenburg-Vorpommern,13,2021-08-05T00:00:00+02:00,44588,1182
Niedersachsen,03,2021-08-05T00:00:00+02:00,265981,5820
Nordrhein-Westfalen,05,2021-08-05T00:00:00+02:00,830647,17299
Rheinland-Pfalz,07,2021-08-05T00:00:00+02:00,158039,3907
Saarland,10,2021-08-05T00:00:00+02:00,42290,1030
Sachsen,14,2021-08-05T00:00:00+02:00,286828,10138
Sachsen-Anhalt,15,2021-08-05T00:00:00+02:00,99625,3454
Schleswig-Holstein,01,2021-08-05T00:00:00+02:00,66002,1639
Thüringen,16,2021-08-05T00:00:00+02:00,129328,4382
