Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-11-18T00:00:00+01:00,729183,11371
Bayern,09,2021-11-18T00:00:00+01:00,983449,16810
Berlin,11,2021-11-18T00:00:00+01:00,251234,3773
Brandenburg,12,2021-11-18T00:00:00+01:00,147320,4012
Bremen,04,2021-11-18T00:00:00+01:00,37230,537
Hamburg,02,2021-11-18T00:00:00+01:00,106351,1856
Hessen,06,2021-11-18T00:00:00+01:00,384408,8007
Mecklenburg-Vorpommern,13,2021-11-18T00:00:00+01:00,60331,1286
Niedersachsen,03,2021-11-18T00:00:00+01:00,346893,6217
Nordrhein-Westfalen,05,2021-11-18T00:00:00+01:00,1087953,18601
Rheinland-Pfalz,07,2021-11-18T00:00:00+01:00,211063,4199
Saarland,10,2021-11-18T00:00:00+01:00,54273,1092
Sachsen,14,2021-11-18T00:00:00+01:00,397183,10597
Sachsen-Anhalt,15,2021-11-18T00:00:00+01:00,129403,3665
Schleswig-Holstein,01,2021-11-18T00:00:00+01:00,89191,1760
Thüringen,16,2021-11-18T00:00:00+01:00,179856,4755
