Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-18T00:00:00+02:00,59353,1928
Bayern,2020-10-18T00:00:00+02:00,78940,2713
Berlin,2020-10-18T00:00:00+02:00,21127,240
Brandenburg,2020-10-18T00:00:00+02:00,5414,172
Bremen,2020-10-18T00:00:00+02:00,3564,63
Hamburg,2020-10-18T00:00:00+02:00,9750,280
Hessen,2020-10-18T00:00:00+02:00,25440,573
Mecklenburg-Vorpommern,2020-10-18T00:00:00+02:00,1680,21
Niedersachsen,2020-10-18T00:00:00+02:00,25581,714
Nordrhein-Westfalen,2020-10-18T00:00:00+02:00,89681,1943
Rheinland-Pfalz,2020-10-18T00:00:00+02:00,13404,263
Saarland,2020-10-18T00:00:00+02:00,4356,177
Sachsen,2020-10-18T00:00:00+02:00,9935,257
Sachsen-Anhalt,2020-10-18T00:00:00+02:00,3242,71
Schleswig-Holstein,2020-10-18T00:00:00+02:00,5626,163
Thüringen,2020-10-18T00:00:00+02:00,4881,199
