Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-21T00:00:00+02:00,36492,1838
Bayern,2020-07-21T00:00:00+02:00,49872,2617
Berlin,2020-07-21T00:00:00+02:00,8802,221
Brandenburg,2020-07-21T00:00:00+02:00,3485,167
Bremen,2020-07-21T00:00:00+02:00,1721,55
Hamburg,2020-07-21T00:00:00+02:00,5241,261
Hessen,2020-07-21T00:00:00+02:00,11430,515
Mecklenburg-Vorpommern,2020-07-21T00:00:00+02:00,809,20
Niedersachsen,2020-07-21T00:00:00+02:00,14059,646
Nordrhein-Westfalen,2020-07-21T00:00:00+02:00,46213,1714
Rheinland-Pfalz,2020-07-21T00:00:00+02:00,7338,238
Saarland,2020-07-21T00:00:00+02:00,2832,174
Sachsen,2020-07-21T00:00:00+02:00,5501,225
Sachsen-Anhalt,2020-07-21T00:00:00+02:00,1956,62
Schleswig-Holstein,2020-07-21T00:00:00+02:00,3271,155
Thüringen,2020-07-21T00:00:00+02:00,3323,182
