Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-03-13T00:00:00+01:00,2466598,14645
Bayern,09,2022-03-13T00:00:00+01:00,3227511,21884
Berlin,11,2022-03-13T00:00:00+01:00,798224,4297
Brandenburg,12,2022-03-13T00:00:00+01:00,589471,5293
Bremen,04,2022-03-13T00:00:00+01:00,125180,694
Hamburg,02,2022-03-13T00:00:00+01:00,376829,2341
Hessen,06,2022-03-13T00:00:00+01:00,1191052,9364
Mecklenburg-Vorpommern,13,2022-03-13T00:00:00+01:00,300321,1856
Niedersachsen,03,2022-03-13T00:00:00+01:00,1264256,7685
Nordrhein-Westfalen,05,2022-03-13T00:00:00+01:00,3514581,22798
Rheinland-Pfalz,07,2022-03-13T00:00:00+01:00,684761,5103
Saarland,10,2022-03-13T00:00:00+01:00,189748,1439
Sachsen,14,2022-03-13T00:00:00+01:00,1063212,14444
Sachsen-Anhalt,15,2022-03-13T00:00:00+01:00,486361,4856
Schleswig-Holstein,01,2022-03-13T00:00:00+01:00,383013,2187
Thüringen,16,2022-03-13T00:00:00+01:00,480233,6685
