Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-01-10T00:00:00+01:00,260001,5530
Bayern,09,2021-01-10T00:00:00+01:00,354494,7875
Berlin,11,2021-01-10T00:00:00+01:00,105850,1560
Brandenburg,12,2021-01-10T00:00:00+01:00,49531,1281
Bremen,04,2021-01-10T00:00:00+01:00,14323,222
Hamburg,02,2021-01-10T00:00:00+01:00,40476,817
Hessen,06,2021-01-10T00:00:00+01:00,150229,3483
Mecklenburg-Vorpommern,13,2021-01-10T00:00:00+01:00,14667,239
Niedersachsen,03,2021-01-10T00:00:00+01:00,119533,2329
Nordrhein-Westfalen,05,2021-01-10T00:00:00+01:00,427710,7942
Rheinland-Pfalz,07,2021-01-10T00:00:00+01:00,79839,1762
Saarland,10,2021-01-10T00:00:00+01:00,21868,540
Sachsen,14,2021-01-10T00:00:00+01:00,154520,4064
Sachsen-Anhalt,15,2021-01-10T00:00:00+01:00,35734,832
Schleswig-Holstein,01,2021-01-10T00:00:00+01:00,28480,545
Thüringen,16,2021-01-10T00:00:00+01:00,51272,1322
