Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-26T00:00:00+02:00,30761,1237
Bayern,2020-04-26T00:00:00+02:00,40912,1596
Berlin,2020-04-26T00:00:00+02:00,5600,123
Brandenburg,2020-04-26T00:00:00+02:00,2694,100
Bremen,2020-04-26T00:00:00+02:00,739,27
Hamburg,2020-04-26T00:00:00+02:00,4429,140
Hessen,2020-04-26T00:00:00+02:00,7946,315
Mecklenburg-Vorpommern,2020-04-26T00:00:00+02:00,673,16
Niedersachsen,2020-04-26T00:00:00+02:00,9785,384
Nordrhein-Westfalen,2020-04-26T00:00:00+02:00,31669,1096
Rheinland-Pfalz,2020-04-26T00:00:00+02:00,5835,147
Saarland,2020-04-26T00:00:00+02:00,2482,107
Sachsen,2020-04-26T00:00:00+02:00,4428,147
Sachsen-Anhalt,2020-04-26T00:00:00+02:00,1494,36
Schleswig-Holstein,2020-04-26T00:00:00+02:00,2630,96
Thüringen,2020-04-26T00:00:00+02:00,2098,73
