Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-16T00:00:00+02:00,25881,802
Bayern,2020-04-16T00:00:00+02:00,35142,1049
Berlin,2020-04-16T00:00:00+02:00,4848,74
Brandenburg,2020-04-16T00:00:00+02:00,2058,54
Bremen,2020-04-16T00:00:00+02:00,507,21
Hamburg,2020-04-16T00:00:00+02:00,3953,80
Hessen,2020-04-16T00:00:00+02:00,6470,187
Mecklenburg-Vorpommern,2020-04-16T00:00:00+02:00,634,13
Niedersachsen,2020-04-16T00:00:00+02:00,8188,248
Nordrhein-Westfalen,2020-04-16T00:00:00+02:00,26383,663
Rheinland-Pfalz,2020-04-16T00:00:00+02:00,5087,87
Saarland,2020-04-16T00:00:00+02:00,2201,71
Sachsen,2020-04-16T00:00:00+02:00,3955,94
Sachsen-Anhalt,2020-04-16T00:00:00+02:00,1248,26
Schleswig-Holstein,2020-04-16T00:00:00+02:00,2294,55
Thüringen,2020-04-16T00:00:00+02:00,1601,45
