Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-15T00:00:00+02:00,33851,1628
Bayern,2020-05-15T00:00:00+02:00,45143,2260
Berlin,2020-05-15T00:00:00+02:00,6397,177
Brandenburg,2020-05-15T00:00:00+02:00,3158,148
Bremen,2020-05-15T00:00:00+02:00,1129,37
Hamburg,2020-05-15T00:00:00+02:00,4981,228
Hessen,2020-05-15T00:00:00+02:00,9204,429
Mecklenburg-Vorpommern,2020-05-15T00:00:00+02:00,740,20
Niedersachsen,2020-05-15T00:00:00+02:00,11087,534
Nordrhein-Westfalen,2020-05-15T00:00:00+02:00,35967,1493
Rheinland-Pfalz,2020-05-15T00:00:00+02:00,6413,213
Saarland,2020-05-15T00:00:00+02:00,2684,147
Sachsen,2020-05-15T00:00:00+02:00,5061,195
Sachsen-Anhalt,2020-05-15T00:00:00+02:00,1668,54
Schleswig-Holstein,2020-05-15T00:00:00+02:00,2988,126
Thüringen,2020-05-15T00:00:00+02:00,2681,135
