Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-08-03T00:00:00+02:00,4268429,16646
Bayern,09,2022-08-03T00:00:00+02:00,5686780,24957
Berlin,11,2022-08-03T00:00:00+02:00,1188767,4717
Brandenburg,12,2022-08-03T00:00:00+02:00,885487,5785
Bremen,04,2022-08-03T00:00:00+02:00,241199,813
Hamburg,02,2022-08-03T00:00:00+02:00,691172,2838
Hessen,06,2022-08-03T00:00:00+02:00,2316969,10670
Mecklenburg-Vorpommern,13,2022-08-03T00:00:00+02:00,558303,2335
Niedersachsen,03,2022-08-03T00:00:00+02:00,2970465,10034
Nordrhein-Westfalen,05,2022-08-03T00:00:00+02:00,6297522,26450
Rheinland-Pfalz,07,2022-08-03T00:00:00+02:00,1393445,5938
Saarland,10,2022-08-03T00:00:00+02:00,384741,1773
Sachsen,14,2022-08-03T00:00:00+02:00,1662387,15709
Sachsen-Anhalt,15,2022-08-03T00:00:00+02:00,795109,5501
Schleswig-Holstein,01,2022-08-03T00:00:00+02:00,940080,2737
Thüringen,16,2022-08-03T00:00:00+02:00,763699,7457
