Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-22T00:00:00+02:00,39829,1862
Bayern,2020-08-22T00:00:00+02:00,54817,2633
Berlin,2020-08-22T00:00:00+02:00,10655,226
Brandenburg,2020-08-22T00:00:00+02:00,3784,169
Bremen,2020-08-22T00:00:00+02:00,1893,56
Hamburg,2020-08-22T00:00:00+02:00,6019,265
Hessen,2020-08-22T00:00:00+02:00,14409,528
Mecklenburg-Vorpommern,2020-08-22T00:00:00+02:00,989,20
Niedersachsen,2020-08-22T00:00:00+02:00,16019,659
Nordrhein-Westfalen,2020-08-22T00:00:00+02:00,56599,1797
Rheinland-Pfalz,2020-08-22T00:00:00+02:00,8602,242
Saarland,2020-08-22T00:00:00+02:00,3055,174
Sachsen,2020-08-22T00:00:00+02:00,5806,225
Sachsen-Anhalt,2020-08-22T00:00:00+02:00,2170,65
Schleswig-Holstein,2020-08-22T00:00:00+02:00,3890,160
Thüringen,2020-08-22T00:00:00+02:00,3546,186
