Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-07T00:00:00+02:00,37642,1852
Bayern,2020-08-07T00:00:00+02:00,51710,2626
Berlin,2020-08-07T00:00:00+02:00,9543,224
Brandenburg,2020-08-07T00:00:00+02:00,3600,168
Bremen,2020-08-07T00:00:00+02:00,1798,56
Hamburg,2020-08-07T00:00:00+02:00,5530,262
Hessen,2020-08-07T00:00:00+02:00,12468,524
Mecklenburg-Vorpommern,2020-08-07T00:00:00+02:00,910,20
Niedersachsen,2020-08-07T00:00:00+02:00,14847,654
Nordrhein-Westfalen,2020-08-07T00:00:00+02:00,50937,1755
Rheinland-Pfalz,2020-08-07T00:00:00+02:00,7713,239
Saarland,2020-08-07T00:00:00+02:00,2900,174
Sachsen,2020-08-07T00:00:00+02:00,5590,225
Sachsen-Anhalt,2020-08-07T00:00:00+02:00,2044,64
Schleswig-Holstein,2020-08-07T00:00:00+02:00,3569,158
Thüringen,2020-08-07T00:00:00+02:00,3413,182
