Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-16T00:00:00+02:00,35150,1808
Bayern,2020-06-16T00:00:00+02:00,47690,2540
Berlin,2020-06-16T00:00:00+02:00,7369,208
Brandenburg,2020-06-16T00:00:00+02:00,3334,163
Bremen,2020-06-16T00:00:00+02:00,1593,48
Hamburg,2020-06-16T00:00:00+02:00,5147,255
Hessen,2020-06-16T00:00:00+02:00,10371,495
Mecklenburg-Vorpommern,2020-06-16T00:00:00+02:00,784,20
Niedersachsen,2020-06-16T00:00:00+02:00,12950,614
Nordrhein-Westfalen,2020-06-16T00:00:00+02:00,39415,1648
Rheinland-Pfalz,2020-06-16T00:00:00+02:00,6846,231
Saarland,2020-06-16T00:00:00+02:00,2773,168
Sachsen,2020-06-16T00:00:00+02:00,5349,220
Sachsen-Anhalt,2020-06-16T00:00:00+02:00,1771,57
Schleswig-Holstein,2020-06-16T00:00:00+02:00,3122,151
Thüringen,2020-06-16T00:00:00+02:00,3175,174
