Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-05T00:00:00+02:00,50934,1890
Bayern,2020-10-05T00:00:00+02:00,69631,2672
Berlin,2020-10-05T00:00:00+02:00,15648,231
Brandenburg,2020-10-05T00:00:00+02:00,4421,169
Bremen,2020-10-05T00:00:00+02:00,2619,59
Hamburg,2020-10-05T00:00:00+02:00,8241,273
Hessen,2020-10-05T00:00:00+02:00,19978,553
Mecklenburg-Vorpommern,2020-10-05T00:00:00+02:00,1220,20
Niedersachsen,2020-10-05T00:00:00+02:00,21075,690
Nordrhein-Westfalen,2020-10-05T00:00:00+02:00,72995,1884
Rheinland-Pfalz,2020-10-05T00:00:00+02:00,11086,256
Saarland,2020-10-05T00:00:00+02:00,3380,177
Sachsen,2020-10-05T00:00:00+02:00,7502,239
Sachsen-Anhalt,2020-10-05T00:00:00+02:00,2746,68
Schleswig-Holstein,2020-10-05T00:00:00+02:00,4938,162
Thüringen,2020-10-05T00:00:00+02:00,4205,191
