Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-12-11T00:00:00+01:00,179160,3293
Bayern,09,2020-12-11T00:00:00+01:00,248679,4723
Berlin,11,2020-12-11T00:00:00+01:00,76204,768
Brandenburg,12,2020-12-11T00:00:00+01:00,24910,464
Bremen,04,2020-12-11T00:00:00+01:00,11366,150
Hamburg,02,2020-12-11T00:00:00+01:00,28202,458
Hessen,06,2020-12-11T00:00:00+01:00,102817,1659
Mecklenburg-Vorpommern,13,2020-12-11T00:00:00+01:00,7597,94
Niedersachsen,03,2020-12-11T00:00:00+01:00,82321,1380
Nordrhein-Westfalen,05,2020-12-11T00:00:00+01:00,305464,4346
Rheinland-Pfalz,07,2020-12-11T00:00:00+01:00,53467,805
Saarland,10,2020-12-11T00:00:00+01:00,15178,294
Sachsen,14,2020-12-11T00:00:00+01:00,78704,1505
Sachsen-Anhalt,15,2020-12-11T00:00:00+01:00,17087,251
Schleswig-Holstein,01,2020-12-11T00:00:00+01:00,17104,283
Thüringen,16,2020-12-11T00:00:00+01:00,23818,497
