Area,Bundesland,AGS,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,08425000,2021-02-25T00:00:00+01:00,5447,145
Baden-Baden (Stadtkreis),Baden-Württemberg,08211000,2021-02-25T00:00:00+01:00,1256,47
Biberach,Baden-Württemberg,08426000,2021-02-25T00:00:00+01:00,4790,129
Bodenseekreis,Baden-Württemberg,08435000,2021-02-25T00:00:00+01:00,4780,137
Breisgau-Hochschwarzwald,Baden-Württemberg,08315000,2021-02-25T00:00:00+01:00,6075,154
Böblingen,Baden-Württemberg,08115000,2021-02-25T00:00:00+01:00,11194,214
Calw,Baden-Württemberg,08235000,2021-02-25T00:00:00+01:00,5646,148
Emmendingen,Baden-Württemberg,08316000,2021-02-25T00:00:00+01:00,4168,134
Enzkreis,Baden-Württemberg,08236000,2021-02-25T00:00:00+01:00,6356,206
Esslingen,Baden-Württemberg,08116000,2021-02-25T00:00:00+01:00,16390,437
Freiburg im Breisgau (Stadtkreis),Baden-Württemberg,08311000,2021-02-25T00:00:00+01:00,5316,129
Freudenstadt,Baden-Württemberg,08237000,2021-02-25T00:00:00+01:00,3298,121
Göppingen,Baden-Württemberg,08117000,2021-02-25T00:00:00+01:00,7239,153
Heidelberg (Stadtkreis),Baden-Württemberg,08221000,2021-02-25T00:00:00+01:00,3797,52
Heidenheim,Baden-Württemberg,08135000,2021-02-25T00:00:00+01:00,3265,132
Heilbronn (Stadtkreis),Baden-Württemberg,08121000,2021-02-25T00:00:00+01:00,5663,113
Heilbronn (Landkreis),Baden-Württemberg,08125000,2021-02-25T00:00:00+01:00,9721,179
Hohenlohekreis,Baden-Württemberg,08126000,2021-02-25T00:00:00+01:00,3112,103
Karlsruhe (Stadtkreis),Baden-Württemberg,08212000,2021-02-25T00:00:00+01:00,6477,159
Karlsruhe (Landkreis),Baden-Württemberg,08215000,2021-02-25T00:00:00+01:00,11671,390
Konstanz,Baden-Württemberg,08335000,2021-02-25T00:00:00+01:00,6894,216
Ludwigsburg,Baden-Württemberg,08118000,2021-02-25T00:00:00+01:00,16904,400
Lörrach,Baden-Württemberg,08336000,2021-02-25T00:00:00+01:00,7280,235
Main-Tauber-Kreis,Baden-Württemberg,08128000,2021-02-25T00:00:00+01:00,3180,64
Mannheim (Stadtkreis),Baden-Württemberg,08222000,2021-02-25T00:00:00+01:00,10615,255
Neckar-Odenwald-Kreis,Baden-Württemberg,08225000,2021-02-25T00:00:00+01:00,4251,122
Ortenaukreis,Baden-Württemberg,08317000,2021-02-25T00:00:00+01:00,12700,463
Ostalbkreis,Baden-Württemberg,08136000,2021-02-25T00:00:00+01:00,9308,256
Pforzheim (Stadtkreis),Baden-Württemberg,08231000,2021-02-25T00:00:00+01:00,5234,148
Rastatt,Baden-Württemberg,08216000,2021-02-25T00:00:00+01:00,5518,113
Ravensburg,Baden-Württemberg,08436000,2021-02-25T00:00:00+01:00,6684,95
Rems-Murr-Kreis,Baden-Württemberg,08119000,2021-02-25T00:00:00+01:00,12701,302
Reutlingen,Baden-Württemberg,08415000,2021-02-25T00:00:00+01:00,8811,224
Rhein-Neckar-Kreis,Baden-Württemberg,08226000,2021-02-25T00:00:00+01:00,15229,346
Rottweil,Baden-Württemberg,08325000,2021-02-25T00:00:00+01:00,4986,136
Schwarzwald-Baar-Kreis,Baden-Württemberg,08326000,2021-02-25T00:00:00+01:00,6128,177
Schwäbisch Hall,Baden-Württemberg,08127000,2021-02-25T00:00:00+01:00,5322,155
Sigmaringen,Baden-Württemberg,08437000,2021-02-25T00:00:00+01:00,2982,63
Stuttgart,Baden-Württemberg,08111000,2021-02-25T00:00:00+01:00,18465,312
Tuttlingen,Baden-Württemberg,08327000,2021-02-25T00:00:00+01:00,4693,108
